Age,Height,Matches,Minutes/Match,Goals/Match,Assists/Match,Yellow Cards/Match,Red Cards/Match,Shots/Match,Pass Success Rate,Aerials Won,class
25,194,78.0,89.7051282051282,0.0,0.0128205128205128,0.0384615384615384,0.0,0.0,68.6,0.2,Goalkeeper
21,188,59.0,73.5593220338983,0.0677966101694915,0.0169491525423728,0.271186440677966,0.0338983050847457,0.5,87.3,1.4,Defender
22,184,101.0,29.4059405940594,0.128712871287129,0.0693069306930693,0.0495049504950495,0.0,1.0,69.3,1.0,Forward
18,190,4.0,12.75,0.25,0.0,0.0,0.0,1.3,77.1,1.0,Midfielder
22,187,53.0,75.0566037735849,0.0377358490566037,0.0566037735849056,0.113207547169811,0.0,0.2,84.5,1.6,Defender
23,167,13.0,14.4615384615385,0.0,0.153846153846154,0.0769230769230769,0.0,0.3,74.6,0.4,Midfielder
21,184,30.0,59.1666666666667,0.0333333333333333,0.0333333333333333,0.1,0.0,0.7,83.1,0.5,Midfielder
21,180,48.0,52.2916666666667,0.0416666666666666,0.104166666666667,0.145833333333333,0.0,0.8,75.9,1.0,Midfielder
21,187,19.0,21.5789473684211,0.105263157894737,0.0,0.0,0.0,0.4,74.2,0.2,Forward
18,184,2.0,5.5,0.0,0.0,0.0,0.0,0.0,66.7,0.0,Forward
26,183,36.0,57.1666666666667,0.0277777777777777,0.0,0.277777777777778,0.0,0.2,79.7,0.7,Defender
31,180,300.0,71.24,0.27,0.246666666666667,0.05,0.0033333333333333,2.1,78.6,0.5,Midfielder
27,181,285.0,80.4350877192983,0.0561403508771929,0.0842105263157894,0.126315789473684,0.0,0.9,78.7,1.4,Midfielder
22,190,53.0,90.566037735849,0.0,0.0,0.0,0.0,0.0,69.0,0.2,Goalkeeper
23,183,50.0,32.28,0.1,0.06,0.08,0.0,0.8,58.8,1.0,Forward
24,184,69.0,61.6811594202899,0.0289855072463768,0.0289855072463768,0.144927536231884,0.0,0.6,77.6,0.9,Midfielder
22,188,88.0,47.9090909090909,0.125,0.0909090909090909,0.102272727272727,0.0113636363636363,0.9,66.9,0.4,Midfielder
28,189,193.0,82.0259067357513,0.077720207253886,0.0103626943005181,0.129533678756477,0.0,0.4,85.5,1.9,Defender
21,186,8.0,54.25,0.0,0.0,0.0,0.0,0.0,86.3,0.6,Defender
22,192,64.0,58.6875,0.0625,0.078125,0.140625,0.015625,1.0,77.3,0.8,Midfielder
26,172,173.0,50.6011560693642,0.190751445086705,0.0924855491329479,0.0867052023121387,0.0,1.6,80.1,0.2,Midfielder
23,191,29.0,47.2068965517241,0.0,0.0344827586206896,0.0344827586206896,0.0,0.1,87.6,0.7,Defender
18,185,2.0,8.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Defender
23,181,69.0,25.9275362318841,0.0289855072463768,0.0434782608695652,0.0144927536231884,0.0,0.2,78.0,0.2,Midfielder
19,182,1.0,9.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Midfielder
26,190,124.0,89.6370967741936,0.0,0.0,0.0,0.0,0.0,69.6,0.2,Goalkeeper
24,177,25.0,41.04,0.2,0.04,0.08,0.0,1.0,74.1,0.2,Midfielder
27,188,20.0,64.7,0.05,0.0,0.25,0.05,0.1,78.3,1.6,Defender
27,180,59.0,70.8135593220339,0.0338983050847457,0.0508474576271186,0.288135593220339,0.0169491525423728,0.7,86.5,0.7,Midfielder
29,184,61.0,36.4426229508197,0.0655737704918032,0.114754098360656,0.081967213114754,0.0163934426229508,0.6,77.5,0.3,Midfielder
27,185,22.0,87.9545454545455,0.0,0.0,0.136363636363636,0.0454545454545454,0.0,44.8,0.3,Goalkeeper
32,194,198.0,88.7626262626263,0.005050505050505,0.0,0.0606060606060606,0.0,0.0,49.5,0.3,Goalkeeper
32,188,13.0,86.3846153846154,0.0769230769230769,0.0,0.153846153846154,0.0,0.4,83.3,1.8,Defender
26,185,65.0,66.9230769230769,0.0307692307692307,0.0769230769230769,0.2,0.0,0.8,77.4,0.7,Defender
26,186,6.0,43.5,0.0,0.0,0.0,0.0,0.2,78.3,1.2,Defender
23,177,14.0,66.5,0.0,0.0,0.142857142857143,0.0,0.5,87.1,0.7,Midfielder
23,170,23.0,69.0434782608696,0.0,0.0,0.173913043478261,0.0,0.2,84.2,0.5,Defender
31,188,265.0,83.2867924528302,0.0226415094339622,0.0037735849056603,0.19622641509434,0.0075471698113207,0.4,84.4,1.9,Defender
32,178,199.0,61.9396984924623,0.0402010050251256,0.0402010050251256,0.21608040201005,0.0,0.5,77.4,1.0,Midfielder
25,180,46.0,41.6956521739131,0.0434782608695652,0.0434782608695652,0.108695652173913,0.0,0.9,59.5,0.8,Forward
24,186,6.0,30.3333333333333,0.166666666666667,0.0,0.0,0.0,1.2,67.6,1.7,Forward
30,190,320.0,74.703125,0.4375,0.159375,0.075,0.003125,2.2,66.8,4.7,Forward
26,181,78.0,60.6538461538462,0.0128205128205128,0.0,0.294871794871795,0.0,0.8,76.6,1.4,Midfielder
24,179,32.0,29.96875,0.09375,0.0625,0.0,0.0,0.7,77.8,0.4,Midfielder
17,180,74.0,65.2567567567568,0.162162162162162,0.27027027027027,0.108108108108108,0.0,2.1,83.1,0.1,Midfielder
36,185,623.0,82.1508828250401,0.768860353130016,0.160513643659711,0.0914927768860353,0.0032102728731942,3.7,74.5,2.0,Forward
21,173,43.0,26.3255813953488,0.0930232558139534,0.0697674418604651,0.0465116279069767,0.0,0.4,85.5,0.0,Midfielder
21,174,166.0,69.2951807228916,0.126506024096386,0.0903614457831325,0.0481927710843373,0.0,0.7,87.8,0.1,Midfielder
33,182,419.0,87.1479713603819,0.0620525059665871,0.0143198090692124,0.262529832935561,0.0143198090692124,0.7,81.0,2.3,Defender
21,172,20.0,59.55,0.0,0.25,0.1,0.0,0.5,89.9,0.4,Midfielder
25,180,296.0,85.1756756756757,0.0405405405405405,0.0506756756756756,0.101351351351351,0.0101351351351351,0.6,87.3,2.3,Defender
17,184,40.0,79.15,0.0,0.025,0.175,0.0,0.3,92.2,1.6,Defender
17,188,3.0,81.3333333333333,0.0,0.0,0.666666666666667,0.0,0.7,92.5,0.3,Midfielder
25,184,34.0,85.4705882352941,0.0,0.0,0.0588235294117647,0.0,0.0,82.0,0.2,Goalkeeper
32,187,506.0,89.5750988142293,0.0,0.0039525691699604,0.025691699604743,0.0,0.0,80.4,0.3,Goalkeeper
18,185,15.0,39.8666666666667,0.0,0.133333333333333,0.0,0.0,0.2,91.0,0.1,Defender
22,184,11.0,15.9090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0,0.5,83.9,0.0,Forward
22,186,11.0,34.3636363636364,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,83.8,0.4,Defender
21,174,49.0,42.3061224489796,0.224489795918367,0.0408163265306122,0.102040816326531,0.0,1.5,85.8,0.3,Midfielder
19,188,5.0,41.2,0.0,0.0,0.2,0.0,0.0,93.9,0.6,Defender
20,173,123.0,66.6910569105691,0.065040650406504,0.08130081300813,0.284552845528455,0.016260162601626,0.7,88.8,0.9,Midfielder
23,189,91.0,68.8131868131868,0.450549450549451,0.208791208791209,0.0659340659340659,0.0,2.9,73.0,1.4,Forward
28,195,370.0,84.6810810810811,0.0351351351351351,0.0297297297297297,0.12972972972973,0.0027027027027027,0.4,88.4,2.4,Defender
25,194,214.0,82.5747663551402,0.0467289719626168,0.0186915887850467,0.163551401869159,0.0046728971962616,0.6,88.2,1.8,Defender
26,176,172.0,59.953488372093,0.0930232558139534,0.122093023255814,0.151162790697674,0.005813953488372,0.8,86.6,0.4,Midfielder
27,173,148.0,61.4527027027027,0.0472972972972973,0.0945945945945946,0.081081081081081,0.0067567567567567,0.8,88.5,0.5,Midfielder
34,192,379.0,89.7361477572559,0.0,0.0,0.0316622691292876,0.0052770448548812,0.0,70.3,0.2,Goalkeeper
21,173,13.0,34.7692307692308,0.0,0.153846153846154,0.153846153846154,0.0,0.4,75.8,0.4,Defender
19,186,42.0,60.0,0.0,0.0238095238095238,0.0952380952380952,0.0238095238095238,0.2,89.7,0.4,Defender
24,196,44.0,88.75,0.0,0.0,0.0227272727272727,0.0,0.0,67.4,0.2,Goalkeeper
32,186,314.0,84.8089171974522,0.0955414012738853,0.0159235668789808,0.152866242038217,0.0127388535031847,0.7,84.7,3.8,Defender
34,191,330.0,89.1787878787879,0.0,0.003030303030303,0.009090909090909,0.0,0.0,71.1,0.2,Goalkeeper
24,187,144.0,72.7083333333333,0.0486111111111111,0.0625,0.194444444444444,0.0,0.6,82.9,1.9,Defender
22,192,102.0,89.5588235294118,0.0,0.0,0.0294117647058823,0.0,0.0,76.7,0.2,Goalkeeper
24,177,183.0,71.7814207650273,0.459016393442623,0.120218579234973,0.0983606557377049,0.0054644808743169,2.7,69.4,0.6,Forward
21,184,113.0,82.4159292035398,0.0442477876106194,0.0,0.141592920353982,0.0088495575221238,0.2,90.5,1.2,Defender
21,195,85.0,57.9411764705882,0.352941176470588,0.0705882352941176,0.0235294117647058,0.0,1.8,66.5,1.6,Forward
34,178,325.0,69.6492307692308,0.0646153846153846,0.113846153846154,0.172307692307692,0.0,0.8,86.9,0.4,Midfielder
19,180,82.0,41.2682926829268,0.0853658536585365,0.0853658536585365,0.0121951219512195,0.0,1.1,78.7,0.2,Midfielder
26,175,206.0,59.0436893203884,0.0776699029126213,0.029126213592233,0.160194174757282,0.0048543689320388,1.0,82.2,1.1,Midfielder
23,179,59.0,61.3389830508475,0.0169491525423728,0.0677966101694915,0.0677966101694915,0.0,0.3,82.4,0.4,Midfielder
29,185,302.0,63.2715231788079,0.360927152317881,0.0827814569536423,0.0695364238410596,0.0,2.2,74.9,1.3,Forward
19,180,70.0,75.5285714285714,0.0428571428571428,0.1,0.142857142857143,0.0,0.5,85.4,0.4,Midfielder
19,196,29.0,33.8620689655172,0.0,0.0,0.0689655172413793,0.0,0.0,89.6,0.4,Defender
18,191,20.0,43.0,0.15,0.05,0.1,0.0,1.1,76.7,0.7,Midfielder
19,183,1.0,90.0,0.0,0.0,0.0,0.0,0.0,89.7,4.0,Defender
18,182,14.0,52.5714285714286,0.0714285714285714,0.0714285714285714,0.357142857142857,0.0,0.5,73.7,0.6,Midfielder
20,172,51.0,38.921568627451,0.0588235294117647,0.0392156862745098,0.0588235294117647,0.0196078431372549,0.5,84.2,0.3,Midfielder
24,190,43.0,72.0,0.255813953488372,0.0465116279069767,0.0930232558139534,0.0,2.3,65.6,1.8,Forward
32,172,178.0,84.7808988764045,0.264044943820225,0.224719101123596,0.213483146067416,0.0505617977528089,2.2,75.1,0.8,Midfielder
25,187,106.0,73.3962264150943,0.0566037735849056,0.0094339622641509,0.216981132075472,0.0094339622641509,0.4,84.0,1.5,Defender
26,180,32.0,81.6875,0.0,0.0,0.0,0.03125,0.0,66.1,0.5,Goalkeeper
19,180,5.0,28.8,0.2,0.2,0.0,0.0,0.6,95.7,0.0,Forward
32,173,371.0,66.3423180592992,0.0404312668463611,0.0673854447439353,0.191374663072776,0.0107816711590296,0.6,85.5,0.5,Midfielder
21,182,53.0,57.5283018867925,0.0188679245283018,0.0188679245283018,0.0566037735849056,0.0,0.2,78.8,0.6,Defender
18,182,4.0,21.0,0.0,0.0,0.0,0.0,0.3,75.0,0.0,Forward
24,187,3.0,11.3333333333333,0.0,0.0,0.0,0.0,0.0,90.9,0.0,Midfielder
33,186,318.0,88.6415094339623,0.0,0.0031446540880503,0.0314465408805031,0.0062893081761006,0.0,61.0,0.4,Goalkeeper
32,183,100.0,77.47,0.02,0.02,0.14,0.0,0.6,78.8,1.4,Midfielder
20,179,17.0,72.7647058823529,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.4,76.6,0.8,Defender
19,170,9.0,19.2222222222222,0.0,0.0,0.0,0.0,0.0,70.0,0.2,Forward
19,180,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,Forward
23,179,156.0,68.9358974358974,0.0064102564102564,0.0705128205128205,0.141025641025641,0.0064102564102564,0.4,80.8,0.6,Midfielder
27,192,105.0,84.6380952380952,0.019047619047619,0.019047619047619,0.285714285714286,0.019047619047619,0.7,82.0,3.2,Defender
19,182,2.0,3.0,0.0,0.0,0.5,0.0,0.0,100.0,0.0,Midfielder
19,185,3.0,57.6666666666667,0.0,0.0,0.666666666666667,0.333333333333333,0.3,92.9,0.0,Midfielder
24,184,208.0,52.8173076923077,0.1875,0.139423076923077,0.0288461538461538,0.0,1.6,82.5,0.2,Midfielder
26,173,194.0,79.4278350515464,0.391752577319588,0.257731958762887,0.15979381443299,0.0103092783505154,2.7,78.1,0.3,Midfielder
25,178,104.0,38.1057692307692,0.0865384615384615,0.0769230769230769,0.115384615384615,0.0096153846153846,0.8,91.1,0.4,Midfielder
25,185,94.0,77.4148936170213,0.0531914893617021,0.0744680851063829,0.287234042553192,0.0106382978723404,0.6,84.3,0.7,Midfielder
23,173,70.0,52.5428571428571,0.128571428571429,0.114285714285714,0.0857142857142857,0.0,1.2,80.6,0.2,Midfielder
29,177,140.0,74.7214285714286,0.0928571428571428,0.0857142857142857,0.121428571428571,0.0071428571428571,0.7,84.2,0.8,Midfielder
17,172,15.0,67.6,0.0666666666666666,0.0666666666666666,0.133333333333333,0.0,1.5,81.0,0.3,Midfielder
23,185,157.0,76.687898089172,0.0764331210191082,0.0573248407643312,0.127388535031847,0.0127388535031847,0.5,89.1,1.7,Defender
20,190,66.0,76.6212121212121,0.0606060606060606,0.0151515151515151,0.166666666666667,0.0151515151515151,0.8,91.8,1.7,Defender
19,181,9.0,22.5555555555556,0.333333333333333,0.111111111111111,0.0,0.0,1.7,71.4,0.4,Forward
24,179,17.0,57.7647058823529,0.235294117647059,0.0588235294117647,0.0588235294117647,0.0,1.1,80.0,0.4,Midfielder
26,192,10.0,90.0,0.0,0.0,0.0,0.0,0.0,71.1,0.2,Goalkeeper
21,191,99.0,81.6464646464647,0.0101010101010101,0.0202020202020202,0.151515151515152,0.0101010101010101,0.4,85.5,0.8,Defender
24,190,30.0,89.1333333333333,0.0,0.0,0.0,0.0,0.0,82.0,0.1,Goalkeeper
29,177,255.0,60.9019607843137,0.133333333333333,0.145098039215686,0.109803921568627,0.0039215686274509,1.2,81.6,0.2,Midfielder
22,184,72.0,58.0833333333333,0.0416666666666666,0.0138888888888888,0.0555555555555555,0.0,0.1,88.5,0.7,Defender
20,178,48.0,69.6458333333333,0.0416666666666666,0.104166666666667,0.1875,0.0,0.5,84.1,0.5,Midfielder
20,183,34.0,58.0,0.0,0.0,0.088235294117647,0.0,0.1,84.4,0.3,Defender
19,178,39.0,57.6923076923077,0.0,0.0,0.17948717948718,0.0256410256410256,0.3,85.7,0.8,Midfielder
19,185,18.0,29.0,0.0,0.0,0.0,0.0,1.2,69.3,1.1,Forward
26,191,25.0,78.6,0.08,0.04,0.24,0.04,0.8,79.5,2.2,Defender
25,175,99.0,63.6363636363636,0.0707070707070707,0.0808080808080808,0.111111111111111,0.0101010101010101,1.8,74.0,0.4,Midfielder
25,190,13.0,90.0,0.0,0.0,0.153846153846154,0.0,0.0,52.1,0.5,Goalkeeper
24,191,11.0,90.0,0.0,0.0,0.0909090909090909,0.0,0.8,79.2,2.0,Defender
22,180,45.0,62.1777777777778,0.0,0.0888888888888888,0.222222222222222,0.0444444444444444,0.2,87.9,0.7,Midfielder
23,187,21.0,41.7142857142857,0.0476190476190476,0.0,0.238095238095238,0.0,0.3,79.0,1.1,Defender
31,189,67.0,82.1492537313433,0.0149253731343283,0.0,0.149253731343284,0.0149253731343283,0.2,85.6,1.3,Defender
23,182,12.0,44.3333333333333,0.0,0.0833333333333333,0.0833333333333333,0.0,2.0,59.9,0.5,Forward
25,194,10.0,79.4,0.0,0.0,0.4,0.0,0.4,75.6,2.2,Midfielder
22,183,30.0,43.6666666666667,0.0,0.0666666666666666,0.3,0.0,0.2,76.6,0.8,Midfielder
26,176,20.0,42.95,0.0,0.0,0.0,0.0,0.6,78.6,0.5,Midfielder
22,178,5.0,26.8,0.2,0.0,0.0,0.0,0.6,81.0,0.0,Forward
40,187,413.0,87.046004842615,0.036319612590799,0.0169491525423728,0.167070217917676,0.0048426150121065,0.6,85.3,2.3,Defender
21,179,27.0,45.1851851851852,0.0,0.037037037037037,0.259259259259259,0.0,0.6,84.0,0.2,Midfielder
23,173,5.0,50.2,0.2,0.0,0.2,0.0,1.2,86.6,0.2,Midfielder
24,183,38.0,51.1315789473684,0.0789473684210526,0.157894736842105,0.157894736842105,0.0263157894736842,1.1,77.3,0.3,Midfielder
26,175,21.0,38.952380952381,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0,0.5,86.6,0.0,Midfielder
26,175,5.0,14.0,0.0,0.0,0.0,0.0,0.2,75.2,0.0,Midfielder
27,183,6.0,49.6666666666667,0.0,0.0,0.0,0.0,0.8,68.4,1.3,Forward
22,188,2.0,7.5,0.0,0.0,0.0,0.0,0.0,60.7,0.0,Defender
37,192,64.0,88.546875,0.0,0.0,0.109375,0.03125,0.0,63.1,0.3,Goalkeeper
24,180,58.0,56.0172413793103,0.258620689655172,0.0517241379310344,0.0689655172413793,0.0172413793103448,1.6,74.1,0.3,Midfielder
24,184,78.0,89.4230769230769,0.0,0.0,0.0384615384615384,0.0,0.0,75.0,0.5,Goalkeeper
27,193,92.0,80.9891304347826,0.0434782608695652,0.0108695652173913,0.0978260869565217,0.0108695652173913,0.5,79.8,2.0,Defender
20,182,43.0,59.5348837209302,0.209302325581395,0.0465116279069767,0.186046511627907,0.0232558139534883,1.2,80.3,0.9,Forward
19,173,33.0,50.7272727272727,0.0,0.0,0.0606060606060606,0.0,0.6,88.7,0.7,Midfielder
20,180,14.0,44.3571428571429,0.0714285714285714,0.0714285714285714,0.285714285714286,0.0,1.0,73.6,0.3,Midfielder
27,193,190.0,85.1421052631579,0.0473684210526315,0.0105263157894736,0.231578947368421,0.0105263157894736,0.4,78.9,2.4,Defender
19,192,5.0,61.2,0.0,0.0,0.2,0.0,0.0,62.1,0.4,Defender
19,180,21.0,15.7619047619048,0.0,0.0,0.0476190476190476,0.0,0.3,90.6,0.1,Forward
31,176,172.0,80.3255813953488,0.197674418604651,0.226744186046512,0.174418604651163,0.005813953488372,1.6,80.8,0.4,Midfielder
18,178,10.0,49.4,0.0,0.1,0.1,0.0,0.3,81.6,0.3,Defender
24,192,45.0,38.9111111111111,0.0666666666666666,0.0222222222222222,0.0222222222222222,0.0,0.8,75.2,0.3,Forward
20,180,14.0,33.8571428571429,0.0,0.0,0.214285714285714,0.0,0.4,74.7,0.6,Midfielder
20,188,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,Midfielder
23,175,103.0,61.8058252427185,0.116504854368932,0.0194174757281553,0.155339805825243,0.0,1.5,79.9,0.5,Midfielder
27,188,30.0,80.6,0.0333333333333333,0.0333333333333333,0.0666666666666666,0.0,0.2,81.1,1.3,Defender
22,189,66.0,68.7727272727273,0.0757575757575757,0.0303030303030303,0.121212121212121,0.0,1.1,85.5,0.7,Midfielder
18,183,1.0,9.0,0.0,0.0,0.0,0.0,0.0,57.1,0.0,Defender
25,186,38.0,85.6052631578947,0.0526315789473684,0.0,0.157894736842105,0.0,0.2,82.0,2.0,Defender
22,189,7.0,40.8571428571429,0.0,0.0,0.142857142857143,0.0,1.3,82.7,0.4,Midfielder
28,192,15.0,45.2666666666667,0.2,0.0666666666666666,0.0,0.0,1.3,60.0,1.7,Forward
27,178,120.0,65.775,0.141666666666667,0.0916666666666666,0.208333333333333,0.0083333333333333,2.1,69.4,0.4,Midfielder
28,188,71.0,78.4507042253521,0.056338028169014,0.0,0.154929577464789,0.0140845070422535,0.5,88.0,2.1,Defender
27,181,74.0,88.3648648648649,0.0,0.0,0.0945945945945946,0.0,0.0,70.5,0.2,Goalkeeper
24,178,7.0,38.7142857142857,0.0,0.0,0.285714285714286,0.0,1.0,84.1,0.3,Forward
22,173,6.0,63.0,0.0,0.0,0.0,0.0,1.3,83.1,0.0,Midfielder
22,165,7.0,43.1428571428571,0.0,0.0,0.0,0.0,0.3,88.7,0.1,Midfielder
23,179,42.0,37.952380952381,0.0,0.0,0.0952380952380952,0.0,0.2,82.5,0.7,Midfielder
19,171,40.0,53.5,0.275,0.2,0.15,0.0,1.5,73.0,0.7,Forward
37,190,227.0,87.7004405286344,0.0572687224669603,0.0088105726872246,0.114537444933921,0.0088105726872246,0.6,83.9,2.5,Defender
18,177,10.0,63.7,0.0,0.0,0.2,0.0,0.5,79.9,0.1,Midfielder
32,181,50.0,76.12,0.14,0.04,0.16,0.0,0.8,87.2,0.8,Midfielder
20,183,1.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,Forward
29,175,12.0,33.1666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,1.3,68.1,0.4,Forward
27,177,13.0,74.2307692307692,0.0,0.230769230769231,0.461538461538462,0.0,0.3,84.6,0.8,Defender
26,188,54.0,67.037037037037,0.0185185185185185,0.0185185185185185,0.277777777777778,0.0,0.7,76.8,1.4,Midfielder
21,185,2.0,52.0,0.0,0.0,0.0,0.0,0.5,72.7,3.0,Midfielder
22,189,29.0,48.7586206896552,0.0,0.0344827586206896,0.310344827586207,0.0,0.1,80.1,1.1,Midfielder
28,194,21.0,84.4761904761905,0.0,0.0,0.0952380952380952,0.0,0.0,63.6,0.2,Goalkeeper
28,185,10.0,87.7,0.0,0.0,0.1,0.0,0.9,74.6,1.6,Defender
26,170,9.0,53.1111111111111,0.111111111111111,0.0,0.0,0.0,1.4,73.4,0.8,Midfielder
26,171,13.0,71.5384615384615,0.0,0.0769230769230769,0.307692307692308,0.0,1.9,76.6,0.3,Midfielder
23,189,13.0,84.8461538461538,0.0,0.0,0.461538461538462,0.0,1.2,79.3,2.9,Defender
23,177,42.0,61.5238095238095,0.119047619047619,0.0238095238095238,0.142857142857143,0.0,1.4,75.0,0.3,Midfielder
20,185,10.0,33.1,0.2,0.0,0.1,0.0,1.0,75.9,0.5,Forward
25,183,8.0,86.875,0.0,0.0,0.5,0.125,0.5,87.7,1.9,Defender
23,173,45.0,32.6222222222222,0.0,0.0222222222222222,0.0666666666666666,0.0,0.4,80.3,0.1,Midfielder
28,171,67.0,43.6865671641791,0.0298507462686567,0.044776119402985,0.119402985074627,0.0149253731343283,0.7,71.6,0.2,Midfielder
25,193,66.0,40.6060606060606,0.121212121212121,0.0454545454545454,0.0909090909090909,0.0151515151515151,1.3,68.9,2.0,Forward
24,177,50.0,36.36,0.04,0.02,0.0,0.0,0.5,81.2,0.3,Midfielder
25,186,28.0,77.7142857142857,0.0,0.0,0.107142857142857,0.0,0.4,88.1,1.4,Defender
25,179,6.0,18.1666666666667,0.166666666666667,0.0,0.0,0.0,0.2,89.3,0.5,Forward
25,184,25.0,28.32,0.04,0.04,0.12,0.0,0.9,73.4,0.5,Forward
25,185,8.0,27.0,0.0,0.0,0.0,0.0,0.9,64.6,0.4,Forward
26,185,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Goalkeeper
35,190,119.0,53.3697478991597,0.26890756302521,0.100840336134454,0.042016806722689,0.0,2.1,68.9,2.4,Forward
34,181,119.0,63.7310924369748,0.0504201680672268,0.0168067226890756,0.19327731092437,0.0084033613445378,0.8,78.2,0.6,Midfielder
20,175,67.0,41.2835820895522,0.149253731343284,0.104477611940299,0.0597014925373134,0.0,1.5,77.8,0.3,Midfielder
18,170,13.0,28.7692307692308,0.0769230769230769,0.0,0.0769230769230769,0.0,0.9,69.7,0.1,Forward
24,191,167.0,77.4790419161677,0.0658682634730539,0.0718562874251497,0.149700598802395,0.0119760479041916,0.7,84.9,2.1,Defender
21,189,11.0,52.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.2,82.7,1.4,Defender
29,195,347.0,76.9308357348703,0.0489913544668587,0.0288184438040345,0.0778097982708933,0.0,0.6,89.6,1.8,Defender
24,190,91.0,46.0439560439561,0.0769230769230769,0.10989010989011,0.0989010989010989,0.0,0.9,80.0,1.0,Midfielder
33,195,118.0,88.1610169491525,0.0,0.0084745762711864,0.0254237288135593,0.0,0.0,71.1,0.5,Goalkeeper
21,185,124.0,41.1048387096774,0.104838709677419,0.112903225806452,0.0564516129032258,0.0,0.8,83.8,0.5,Midfielder
26,195,205.0,88.6829268292683,0.0,0.0,0.0048780487804878,0.0,0.0,80.4,0.2,Goalkeeper
18,170,4.0,8.0,0.0,0.0,0.0,0.0,0.0,58.3,0.0,Forward
18,184,3.0,35.0,0.0,0.333333333333333,0.0,0.0,0.0,57.7,0.0,Midfielder
23,170,53.0,52.0943396226415,0.0,0.0188679245283018,0.0566037735849056,0.0,0.4,74.9,0.5,Midfielder
18,186,2.0,19.0,0.0,0.0,0.0,0.5,0.0,89.3,0.5,Defender
